Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
MiniMax-M2.5,MiniMax-M2.5,146.84,140.83,148.18,2026-02-12,MiniMax,China,Open weights (unrestricted),Open weights,
DeepSeek-V3.2,DeepSeek-V3.2,146.51,144.63,147.58,2025-12-01,DeepSeek,China,Open weights (unrestricted),Open weights,
o4-mini,o4-mini,146.46,144.1,147.92,2025-04-16,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Nano,GPT-5.4 Nano,146.45,144.23,148.28,2026-03-17,OpenAI,United States of America,API access,Closed weights,
GLM-5,GLM-5,146.32,144.58,147.75,2026-02-11,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),145.89,144.37,147.41,2025-06-05,Google DeepMind,United States of America,API access,Closed weights,
Kimi K2 Thinking,Kimi K2 Thinking,145.88,143.44,147.41,2025-11-06,Moonshot,China,Open weights (restricted use),Open weights,
GPT-5 mini,GPT-5 mini,145.74,143.73,147.14,2025-08-07,OpenAI,United States of America,API access,Closed weights,
MiniMax-M2.7,MiniMax-M2.7,145.45,138.26,147.44,2026-03-18,MiniMax,China,Open weights (non-commercial),Open weights,
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp,144.82,142.08,146.62,2025-09-29,DeepSeek,China,Open weights (unrestricted),Open weights,
Gemini 2.5 Pro (Mar 2025),Gemini 2.5 Pro (Mar 2025),144.78,142.67,147.32,2025-03-25,Google DeepMind,United States of America,API access,Closed weights,
Qwen3-235B-A22B-Thinking (Jul 2025),Qwen3-235B-A22B-Thinking (Jul 2025),144.63,142.35,146.86,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
Grok 4 Fast,Grok 4 Fast,144.57,141.44,147.04,2025-09-19,xAI,United States of America,API access,Closed weights,
Claude Opus 4.1,Claude Opus 4.1,144.21,141.81,146.08,2025-08-05,Anthropic,United States of America,API access,Closed weights,
Qwen 3.6 Flash,Qwen 3.6 Flash,144.14,141.28,145.77,2026-04-26,Alibaba,China,Unknown,Other,
Gemini 3.1 Flash-Lite,Gemini 3.1 Flash-Lite,144.13,136.81,146.18,2026-03-03,Google,United States of America,API access,Closed weights,
Qwen 3.5 Flash (hosted 35B-A3B),Qwen 3.5 Flash (hosted 35B-A3B),143.98,140.92,146.09,2026-02-25,Alibaba,China,Unknown,Other,
GLM-4.7,GLM-4.7,143.75,141.55,145.38,2025-12-22,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Qwen3-Max,Qwen3-Max,143.63,140.14,155.53,2025-09-05,Alibaba,China,API access,Closed weights,
Qwen 3.6 35B-A3B,Qwen 3.6 35B-A3B,143.46,137.79,147.73,2026-04-14,Alibaba,China,Open weights (unrestricted),Open weights,
Gemini 2.5 Flash (Sep 2025),Gemini 2.5 Flash (Sep 2025),143.08,139.07,146.49,2025-09-25,Google DeepMind,United States of America,API access,Closed weights,
Claude Opus 4,Claude Opus 4,142.91,140.61,144.38,2025-05-22,Anthropic,United States of America,API access,Closed weights,
Gemini 2.5 Pro (May 2025),Gemini 2.5 Pro (May 2025),142.78,139.42,145.16,2025-05-06,Google DeepMind,United States of America,API access,Closed weights,
Claude Haiku 4.5,Claude Haiku 4.5,142.76,139.76,144.53,2025-10-15,Anthropic,United States of America,API access,Closed weights,
Nemotron 3 Ultra,Nemotron 3 Ultra,142.67,140.2,144.51,2026-06-04,NVIDIA,United States of America,Open weights (unrestricted),Open weights,
o1,o1,142.52,140.52,143.55,2024-12-05,OpenAI,United States of America,API access,Closed weights,
Mistral Medium 3.5,Mistral Medium 3.5,142.46,139.71,146.51,2026-04-29,Mistral AI,France,Open weights (restricted use),Open weights,
Gemma 4 31B IT,Gemma 4 31B IT,142.19,131.23,146.35,2026-04-02,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Gemini 2.5 Flash (May 2025),Gemini 2.5 Flash (May 2025),142.14,139.78,143.58,2025-05-20,Google DeepMind,United States of America,API access,Closed weights,
Claude Sonnet 4,Claude Sonnet 4,142.14,139.13,143.67,2025-05-22,Anthropic,United States of America,API access,Closed weights,
DeepSeek-R1 (May 2025),DeepSeek-R1 (May 2025),141.85,139.76,143.25,2025-05-28,DeepSeek,China,Open weights (unrestricted),Open weights,
Claude 3.7 Sonnet,Claude 3.7 Sonnet,141.65,139.77,143.39,2025-02-24,Anthropic,United States of America,API access,Closed weights,
o3-mini,o3-mini,141.31,138.11,142.8,2025-01-31,OpenAI,United States of America,API access,Closed weights,
GLM-4.6,GLM-4.6,141.02,136.63,142.5,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",China,Open weights (unrestricted),Open weights,
Grok-3 mini,Grok-3 mini,140.92,138.49,142.48,2025-02-19,xAI,United States of America,API access,Closed weights,
GPT-5 nano,GPT-5 nano,140.85,136.66,142.69,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Gemini 2.5 Flash (Apr 2025),Gemini 2.5 Flash (Apr 2025),140.52,136.5,142.65,2025-04-17,Google DeepMind,United States of America,API access,Closed weights,
gpt-oss-120b,gpt-oss-120b,140.51,135.86,143.02,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),Open weights,
Kimi K2 (Jul 2025),Kimi K2 (Jul 2025),140.38,137.3,142.05,2025-07-11,Moonshot,China,Open weights (restricted use),Open weights,
Gemini 2.5 Flash (Jun 2025),Gemini 2.5 Flash (Jun 2025),140.22,136.98,142.02,2025-06-17,Google DeepMind,United States of America,API access,Closed weights,
DeepSeek-R1,DeepSeek-R1,139.51,137.11,140.72,2025-01-20,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-235B-A22B,Qwen3-235B-A22B,139.47,135.34,141.02,2025-04-28,Alibaba,China,Open weights (unrestricted),Open weights,
Grok 3,Grok 3,138.9,136.14,140.15,2025-02-17,xAI,United States of America,API access,Closed weights,
Qwen3-235B-A22B-Instruct (Jul 2025),Qwen3-235B-A22B-Instruct (Jul 2025),138.83,135.06,140.73,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4.5,GPT-4.5,137.41,134.63,139.05,2025-02-27,OpenAI,United States of America,API access,Closed weights,
GPT-4.1,GPT-4.1,137.31,134.47,138.95,2025-04-14,OpenAI,United States of America,API access,Closed weights,
DeepSeek-V3 (Mar 2025),DeepSeek-V3 (Mar 2025),136.87,134.11,138.78,2025-03-24,DeepSeek,China,Open weights (restricted use),Open weights,
o1-mini,o1-mini,136.44,132.82,137.95,2024-09-12,OpenAI,United States of America,API access,Closed weights,
Gemini 2.0 Flash Thinking (Jan 2025),Gemini 2.0 Flash Thinking (Jan 2025),136.07,130.76,138.91,2025-01-21,"Google DeepMind,Google",United States of America,API access,Closed weights,
o1-preview,o1-preview,135.65,132.25,138.9,2024-09-12,OpenAI,United States of America,API access,Closed weights,
Gemini 2.0 Flash (Feb 2025),Gemini 2.0 Flash (Feb 2025),135.62,132.44,137.53,2024-12-11,"Google DeepMind,Google",United States of America,API access,Closed weights,
GPT-4.1 mini,GPT-4.1 mini,135.61,131.56,137.55,2025-04-14,OpenAI,United States of America,API access,Closed weights,
Gemini 2.0 Pro,Gemini 2.0 Pro,135.43,131.7,137.28,2024-12-11,Google DeepMind,United States of America,Hosted access (no API),Closed weights,
Mistral Medium 3,Mistral Medium 3,135.17,131.8,136.36,2025-05-07,Mistral AI,France,API access,Closed weights,
Gemini 2.0 Flash (Dec 2024),Gemini 2.0 Flash (Dec 2024),134.95,123.73,136.93,2024-12-11,"Google DeepMind,Google",United States of America,API access,Closed weights,
Claude 3.5 Sonnet (October 2024),Claude 3.5 Sonnet (October 2024),134.22,129.39,138.45,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Qwen2.5-Max,Qwen2.5-Max,133.2,129.12,136.11,2025-01-25,Alibaba,China,API access,Closed weights,
Magistral Small 1.1,Magistral Small 1.1,132.88,127.31,135.35,2025-06-10,Mistral AI,France,Open weights (unrestricted),Open weights,
DeepSeek-V3,DeepSeek-V3,132.86,128.14,135.61,2024-12-24,DeepSeek,China,Open weights (restricted use),Open weights,
Llama 4 Maverick,Llama 4 Maverick,132.82,128.29,134.9,2025-04-05,Meta AI,United States of America,Open weights (restricted use),Open weights,
Gemini 1.5 Pro (Sept 2024),Gemini 1.5 Pro (Sept 2024),132.5,128.16,133.84,2024-09-24,Google DeepMind,United States of America,API access,Closed weights,
Phi-4,Phi-4,130.83,124.41,132.3,2024-12-12,Microsoft Research,United States of America,Open weights (unrestricted),Open weights,
Gemma 3 27B,Gemma 3 27B,130.82,125.35,133.17,2025-03-12,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
GPT-4.1 nano,GPT-4.1 nano,130.63,125.43,133.07,2025-04-14,OpenAI,United States of America,API access,Closed weights,
Grok-2 (Dec 2024),Grok-2 (Dec 2024),130.55,125.97,131.94,2024-08-13,xAI,United States of America,API access,Closed weights,
Llama 4 Scout,Llama 4 Scout,130.3,125.69,131.96,2025-04-05,Meta AI,United States of America,Open weights (restricted use),Open weights,
Gemini 1.5 Flash (Sep 2024),Gemini 1.5 Flash (Sep 2024),130.15,123.86,131.88,2024-05-10,Google DeepMind,United States of America,API access,Closed weights,
Claude 3.5 Sonnet,Claude 3.5 Sonnet,130.0,,,2024-06-20,Anthropic,United States of America,API access,Closed weights,
GPT-4o (Nov 2024),GPT-4o (Nov 2024),129.05,124.61,131.42,2024-05-13,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-72B,Qwen2.5-72B,128.75,121.44,130.56,2024-09-19,Alibaba,China,Open weights (unrestricted),Open weights,
GPT-4o (Aug 2024),GPT-4o (Aug 2024),128.73,123.97,130.4,2024-05-13,OpenAI,United States of America,API access,Closed weights,
Llama 3.1-405B,Llama 3.1-405B,128.72,124.01,130.54,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-4o (May 2024),GPT-4o (May 2024),128.56,123.86,130.27,2024-05-13,OpenAI,United States of America,API access,Closed weights,
Mistral Large 2 (Nov 2024),Mistral Large 2 (Nov 2024),128.53,123.82,130.52,2024-07-24,Mistral AI,France,Open weights (non-commercial),Open weights,
Mistral Small 3.1,Mistral Small 3.1,127.45,122.64,129.16,2025-03-17,Mistral AI,France,Open weights (unrestricted),Open weights,
GPT-4 Turbo (Apr 2024),GPT-4 Turbo (Apr 2024),127.26,122.51,128.68,2024-04-09,OpenAI,United States of America,API access,Closed weights,
Mistral Large 2 (Jul 2024),Mistral Large 2 (Jul 2024),127.22,122.16,129.2,2024-07-24,Mistral AI,France,Open weights (non-commercial),Open weights,
Llama 3.3 70B,Llama 3.3 70B,127.18,121.98,129.95,2024-12-06,Meta AI,United States of America,Open weights (restricted use),Open weights,
Claude 3.5 Haiku,Claude 3.5 Haiku,127.17,119.99,130.11,2024-10-22,Anthropic,United States of America,API access,Closed weights,
Gemini 1.5 Pro (May 2024),Gemini 1.5 Pro (May 2024),126.89,122.2,129.55,2024-05-14,Google DeepMind,United States of America,API access,Closed weights,
Claude 3 Opus,Claude 3 Opus,126.64,121.66,129.73,2024-03-04,Anthropic,United States of America,API access,Closed weights,
GPT-4o mini,GPT-4o mini,126.62,120.56,128.62,2024-07-18,OpenAI,United States of America,API access,Closed weights,
GPT-4 Turbo (Nov 2023),GPT-4 Turbo (Nov 2023),125.81,120.45,127.6,2023-11-06,OpenAI,United States of America,API access,Closed weights,
GPT-4 (Mar 2023),GPT-4 (Mar 2023),125.68,119.3,129.44,2023-03-15,OpenAI,United States of America,API access,Closed weights,
Llama 3.2 90B,Llama 3.2 90B,125.37,119.72,127.17,2024-09-24,Meta AI,United States of America,Open weights (restricted use),Open weights,
Llama 3.1-70B,Llama 3.1-70B,125.19,118.99,127.13,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2-72B,Qwen2-72B,124.91,118.62,126.68,2024-06-07,Alibaba,China,Open weights (unrestricted),Open weights,
"DeepSeek-V2 (MoE-236B, May 2024)","DeepSeek-V2 (MoE-236B, May 2024)",124.24,118.21,127.39,2024-05-07,DeepSeek,China,Open weights (restricted use),Open weights,
Amazon Nova Pro,Amazon Nova Pro,123.52,110.05,126.34,2024-12-03,Amazon,United States of America,API access,Closed weights,
Llama 3-70B,Llama 3-70B,122.2,116.29,125.38,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Gemini 1.5 Flash (May 2024),Gemini 1.5 Flash (May 2024),122.14,115.71,124.33,2024-05-10,Google DeepMind,United States of America,API access,Closed weights,
Gemma 2 27B,Gemma 2 27B,122.06,115.27,123.99,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
GPT-4 (Jun 2023),GPT-4 (Jun 2023),121.45,115.14,123.92,2023-06-13,OpenAI,United States of America,API access,Closed weights,
phi-3-small 7.4B,phi-3-small 7.4B,121.21,114.02,124.18,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Mixtral 8x22B,Mixtral 8x22B,120.85,112.98,123.01,2024-04-17,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude Instant,Claude Instant,120.67,113.58,123.76,2023-08-09,Anthropic,United States of America,API access,Closed weights,
phi-3-medium 14B,phi-3-medium 14B,120.61,113.87,123.56,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Mistral Large,Mistral Large,120.58,112.69,123.48,2024-02-26,Mistral AI,France,API access,Closed weights,
Claude 3 Sonnet,Claude 3 Sonnet,119.44,111.13,122.73,2024-03-04,Anthropic,United States of America,API access,Closed weights,
Claude 2,Claude 2,119.1,112.13,123.86,2023-07-11,Anthropic,United States of America,API access,Closed weights,
Gemma 2 9B,Gemma 2 9B,119.1,112.12,121.73,2024-06-24,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-32B,Qwen2.5-Coder-32B,118.77,108.33,124.27,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Claude 2.1,Claude 2.1,117.88,110.1,120.38,2023-11-21,Anthropic,United States of America,API access,Closed weights,
Mistral NeMo,Mistral NeMo,117.87,110.37,121.6,2024-07-18,Mistral AI,France,Open weights (unrestricted),Open weights,
GPT-3.5 Turbo (Nov 2023),GPT-3.5 Turbo (Nov 2023),117.76,109.09,120.84,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Mixtral 8x7B,Mixtral 8x7B,117.6,110.59,120.31,2023-12-11,Mistral AI,France,Open weights (unrestricted),Open weights,
Claude 3 Haiku,Claude 3 Haiku,117.12,108.54,120.48,2024-03-04,Anthropic,United States of America,API access,Closed weights,
Yi-34B,Yi-34B,116.58,109.27,119.87,2023-11-02,01.AI,China,Open weights (restricted use),Open weights,
phi-3-mini 3.8B,phi-3-mini 3.8B,116.58,107.17,119.99,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Gemini 1.0 Pro,Gemini 1.0 Pro,116.47,108.84,119.36,2023-12-06,Google DeepMind,United States of America,API access,Closed weights,
Stable Beluga 2,Stable Beluga 2,116.34,107.94,119.82,2023-07-20,Stability AI,United Kingdom of Great Britain and Northern Ireland,Open weights (non-commercial),Open weights,
Llama 3-8B,Llama 3-8B,115.86,106.71,118.69,2024-04-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-14B,Qwen2.5-Coder-14B,115.59,104.28,121.79,2024-09-18,,,Unknown,Other,
Llama 3.1-8B,Llama 3.1-8B,114.87,102.29,120.78,2024-07-23,Meta AI,United States of America,Open weights (restricted use),Open weights,
PaLM 2-L,PaLM 2-L,114.23,105.76,128.68,2023-05-17,,,Unknown,Other,
GPT-3.5 Turbo (Jan 2024),GPT-3.5 Turbo (Jan 2024),113.82,104.26,117.07,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Llama 2-70B,Llama 2-70B,113.06,105.48,116.77,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-3.5 Turbo (Jun 2023),GPT-3.5 Turbo (Jun 2023),112.44,103.63,117.37,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-Coder (7B),Qwen2.5-Coder (7B),112.22,101.35,118.4,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen-14B,Qwen-14B,112.1,104.24,116.78,2023-09-24,Alibaba,China,Open weights (restricted use),Open weights,
Mistral 7B v0.1,Mistral 7B v0.1,111.26,102.53,115.32,2023-10-10,Mistral AI,France,Open weights (unrestricted),Open weights,
Falcon-180B,Falcon-180B,111.2,101.86,118.57,2023-09-06,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
internlm-20b,internlm-20b,111.14,102.13,116.02,2023-09-18,,,Unknown,Other,
Gemma 7B,Gemma 7B,111.04,102.32,115.68,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
LLaMA-65B,LLaMA-65B,109.15,99.28,113.53,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Falcon 2 11B,Falcon 2 11B,108.51,99.64,114.86,2024-05-09,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
DeepSeek-Coder-V2-Lite-Base,DeepSeek-Coder-V2-Lite-Base,107.82,98.38,113.15,2024-06-13,,,Unknown,Other,
PaLM 2-M,PaLM 2-M,107.25,98.65,115.09,2023-05-17,,,Unknown,Other,
Phi-2,Phi-2,106.82,84.21,112.7,2023-12-12,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Qwen2.5-Coder-3B,Qwen2.5-Coder-3B,106.64,93.59,114.29,2024-09-18,,,Unknown,Other,
Nemotron-4 15B,Nemotron-4 15B,106.62,97.14,112.03,2024-02-27,NVIDIA,United States of America,Unreleased,Closed weights,
Yi-9B,Yi-9B,106.52,96.1,114.19,2024-03-01,,,Unknown,Other,
LLaMA-33B,LLaMA-33B,106.3,97.03,111.3,2023-02-27,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Qwen-7B,Qwen-7B,105.68,94.34,111.09,2023-09-28,Alibaba,China,Open weights (restricted use),Open weights,
PaLM 2-S,PaLM 2-S,105.05,95.36,112.97,2023-05-17,,,Unknown,Other,
Llama 2-13B,Llama 2-13B,105.01,94.95,110.03,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
Llama 2-34B,Llama 2-34B,104.02,94.92,109.64,2023-07-18,Meta AI,United States of America,Unreleased,Closed weights,
StarCoder 2 15B,StarCoder 2 15B,103.8,91.0,110.63,2024-02-29,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
Yi 6B,Yi 6B,103.57,93.86,109.64,2023-11-02,01.AI,China,Open weights (restricted use),Open weights,
Falcon-40B,Falcon-40B,103.24,92.18,109.18,2023-03-15,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
Baichuan2-13B,Baichuan2-13B,101.94,90.12,108.95,2023-09-06,Baichuan,China,Open weights (restricted use),Open weights,
Qwen2.5-Coder (1.5B),Qwen2.5-Coder (1.5B),101.72,85.59,110.03,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
internlm-7b,internlm-7b,101.58,89.96,107.69,2023-07-05,,,Unknown,Other,
INTELLECT-1,INTELLECT-1,99.52,87.73,105.62,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",United States of America,Unknown,Other,
MPT-30B,MPT-30B,99.31,88.36,105.37,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),Open weights,
LLaMA-13B,LLaMA-13B,99.23,88.32,105.48,2023-02-27,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Llama 2-7B,Llama 2-7B,97.66,85.89,103.99,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
chatglm2-6b,chatglm2-6b,97.51,78.98,104.36,2023-06-24,,,Unknown,Other,
LLaMA-7B,LLaMA-7B,95.22,81.71,102.76,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Baichuan 2-7B,Baichuan 2-7B,94.83,82.34,103.5,2023-09-20,Baichuan,China,Open weights (restricted use),Open weights,
DeepSeek Coder 33B,DeepSeek Coder 33B,94.82,80.84,101.9,2024-01-25,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
Falcon-7B,Falcon-7B,93.57,81.17,101.11,2023-04-24,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
CodeQwen1.5-7B,CodeQwen1.5-7B,93.31,77.87,101.91,2024-04-15,,,Unknown,Other,
vicuna-13b-v1.1,vicuna-13b-v1.1,93.15,79.07,101.2,2023-04-12,,,Unknown,Other,
MPT-7B,MPT-7B,93.05,79.56,101.17,2023-05-05,MosaicML,United States of America,Open weights (unrestricted),Open weights,
Gemma 2B,Gemma 2B,92.64,79.22,100.07,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
StarCoder 2 7B,StarCoder 2 7B,91.96,76.72,100.88,2024-02-29,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
XGen-7B,XGen-7B,91.82,78.8,99.23,2023-09-07,Salesforce,United States of America,Open weights (unrestricted),Open weights,
Qwen-1_8B,Qwen-1_8B,91.28,72.42,100.37,2023-11-30,,,Unknown,Other,
open_llama_7b,open_llama_7b,90.02,76.23,97.71,2023-06-07,,,Unknown,Other,
Phi-1.5,Phi-1.5,89.91,66.31,100.17,2023-09-11,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Baichuan1-7B,Baichuan1-7B,88.75,75.82,97.95,2023-06-01,Baichuan,China,Open weights (non-commercial),Open weights,
